source_id,period_days,transit_depth_ppm,planet_radius_re,stellar_radius_rs,snr,epoch,label_raw,mission,label_coarse,label_binary
K05386.01,551.134255,401.7,1.91,0.949,11.7,369.5923,FALSE POSITIVE,KEPLER,FALSE POSITIVE,0
K05387.01,297.78282,392.4,1.17,0.59,10.8,233.4002,CANDIDATE,KEPLER,CANDIDATE,0
K05388.01,137.396194,155.4,3.38,2.655,13.2,158.9242,CANDIDATE,KEPLER,CANDIDATE,0
K05389.01,365.739893,300.7,1.73,0.953,5.0,278.581,CANDIDATE,KEPLER,CANDIDATE,0
K05390.01,104.198102,652.2,5.13,2.024,8.9,161.4469,CANDIDATE,KEPLER,CANDIDATE,0
K05391.01,368.72715,426.6,1.55,0.749,6.4,434.378,FALSE POSITIVE,KEPLER,FALSE POSITIVE,0
K05511.01,74.833577,86.4,1.68,1.807,6.4,196.5293,CANDIDATE,KEPLER,CANDIDATE,0
K05512.01,8.5852872,1406.0,3.02,0.818,11.0,137.39662,CANDIDATE,KEPLER,CANDIDATE,0
K05513.01,100.303613,360147.30000000127,78.77,1.046,354.7,176.75827,FALSE POSITIVE,KEPLER,FALSE POSITIVE,0
K05514.01,102.100752,194.2,2.63,1.83,5.2,148.9663,CANDIDATE,KEPLER,CANDIDATE,0
K05515.01,6.263491873,2829.0,6.46,1.194,35.1,134.897906,CANDIDATE,KEPLER,CANDIDATE,0
K05516.01,0.83620025,331280.0,65.64,1.0,145.4,131.91663,FALSE POSITIVE,KEPLER,FALSE POSITIVE,0
K05517.01,335.43143,228.1,7.12,4.721,6.8,395.1813,CANDIDATE,KEPLER,CANDIDATE,0
K05518.01,551.134255,1539.4,3.1,0.794,19.1,419.8232,CANDIDATE,KEPLER,CANDIDATE,0
K05638.01,290.02002,172.5,1.56,1.148,7.6,138.2587,CANDIDATE,KEPLER,CANDIDATE,0
K05639.01,279.21957,333.5,4.92,2.604,10.5,179.9274,CANDIDATE,KEPLER,CANDIDATE,0
K05640.01,348.665961,391.2,9.56,4.89,10.8,165.8497,CANDIDATE,KEPLER,CANDIDATE,0
K05641.01,551.134255,1287.0,2.11,0.588,12.5,154.168,FALSE POSITIVE,KEPLER,FALSE POSITIVE,0
K05642.01,222.28056,271.9,2.56,1.531,8.0,131.8546,CANDIDATE,KEPLER,CANDIDATE,0
K05643.01,551.134255,428.5,1.62,0.79,6.8,375.0523,CANDIDATE,KEPLER,CANDIDATE,0
K05644.01,378.93139106,,,,,254.5741017,CANDIDATE,KEPLER,CANDIDATE,0
K05645.01,551.134255,,,,,386.2877879,CANDIDATE,KEPLER,CANDIDATE,0
K05765.01,390.40832,251.9,0.63,0.4,8.5,265.436,FALSE POSITIVE,KEPLER,FALSE POSITIVE,0
K05766.01,191.528018,171.8,1.32,1.009,6.4,260.9129,FALSE POSITIVE,KEPLER,FALSE POSITIVE,0
K05767.01,386.59946,380.7,1.89,0.963,5.8,221.2945,FALSE POSITIVE,KEPLER,FALSE POSITIVE,0
K05768.01,15.4032765,253.0,1.32,0.799,9.2,137.9906,FALSE POSITIVE,KEPLER,FALSE POSITIVE,0
K05769.01,7.58062893,86.1,0.97,1.041,10.9,132.89809,CANDIDATE,KEPLER,CANDIDATE,0
K05770.01,61.0011095,408.0,2.55,1.171,5.0,144.84614,FALSE POSITIVE,KEPLER,FALSE POSITIVE,0
K05771.01,198.232389,416.4,2.28,1.113,5.7,294.73515,FALSE POSITIVE,KEPLER,FALSE POSITIVE,0
