source_id,period_days,transit_depth_ppm,planet_radius_re,stellar_radius_rs,snr,epoch,label_raw,mission,label_coarse,label_binary
K05886.01,284.87177,106.7,1.84,1.773,10.1,333.9721,CANDIDATE,KEPLER,CANDIDATE,0
K05887.01,9.8338474,57.6,0.98,1.202,23.8,132.5363,FALSE POSITIVE,KEPLER,FALSE POSITIVE,0
K05888.01,190.860818,512.0,1.84,0.803,6.2,256.5195,CANDIDATE,KEPLER,CANDIDATE,0
K05889.01,374.41813,430.2,2.42,1.124,8.9,462.0983,CANDIDATE,KEPLER,CANDIDATE,0
K05890.01,263.30198,377.6,2.19,1.132,5.6,308.8678,CANDIDATE,KEPLER,CANDIDATE,0
K05891.01,370.31761,1885.0,2.98,0.701,15.1,230.3001,CANDIDATE,KEPLER,CANDIDATE,0
K05892.01,37.959659,287.9,1.41,0.827,6.9,145.234,CANDIDATE,KEPLER,CANDIDATE,0
K05893.01,405.6296,304.3,1.4,0.79,5.8,245.7373,CANDIDATE,KEPLER,CANDIDATE,0
K05894.01,1.080695116,312770.0,155.22,2.34,198.8,131.86822,FALSE POSITIVE,KEPLER,FALSE POSITIVE,0
K05895.01,11.8307724,136.0,1.16,0.958,12.4,140.1105,CANDIDATE,KEPLER,CANDIDATE,0
K05896.01,434.28175,663.1,1.94,0.75,12.8,363.313,CANDIDATE,KEPLER,CANDIDATE,0
