z_period_days,z_transit_depth_ppm,z_planet_radius_re,z_stellar_radius_rs,z_snr,label_binary,label_coarse,mission
-0.292400804902581,-0.2703301419264296,-0.43089109683842086,-0.3777669380213253,-0.19499362300543177,1,CONFIRMED,KEPLER
0.1656644363891915,-0.2651494310597911,-0.4085563306278957,-0.3777669380213253,-0.21553894686351213,1,CONFIRMED,KEPLER
-0.18625951411441594,-0.06603811017680518,0.05263699971926388,-0.43070625272063384,-0.11178506138020633,0,CANDIDATE,KEPLER
-0.3714231580570822,-0.12104165743967257,0.7916434746850609,-0.499796544785833,0.7702256918471833,0,FALSE POSITIVE,KEPLER
-0.36338297396513614,-0.27058017623466507,-0.4116910346574431,-0.2709910321023811,-0.18451550783781076,1,CONFIRMED,KEPLER
-0.2760247170384587,-0.2522936670675571,-0.3666296642326994,-0.3373894946065986,-0.1319194787611251,1,CONFIRMED,KEPLER
-0.34698080346821847,-0.2689259492513793,-0.4109073586500563,-0.3373894946065986,-0.1859536805078764,1,CONFIRMED,KEPLER
-0.36296500726103986,-0.2781172104221145,-0.45714424308588025,-0.3373894946065986,-0.23772789663023888,1,CONFIRMED,KEPLER
-0.31407789944264747,-0.27797319066057086,1.0169503268087796,0.5473251544360819,-0.17054468761431613,0,FALSE POSITIVE,KEPLER
-0.22531142242548235,-0.1843483440104228,-0.2937477955457226,-0.4486517831271791,0.06408291084496151,1,CONFIRMED,KEPLER
-0.3639434791842249,0.002011227152555096,-0.00848972885691022,-0.3445677067692167,8.574777865816166,1,CONFIRMED,KEPLER
-0.36665410707118923,-0.1491355123130078,0.1114127002732775,0.5419414953141183,8.679969923969537,1,CONFIRMED,KEPLER
-0.353219502831194,-0.0997087302610239,0.05224516171557047,0.09240595863016007,3.309422267467334,1,CONFIRMED,KEPLER
-0.3513159350605208,-0.28002547226256747,-0.4739932772446974,-0.29252566859023543,-0.16458654369547285,1,CONFIRMED,KEPLER
-0.271670168972163,0.07708152785716682,5.378107307916585,-0.4486517831271791,1.0095787147938193,0,FALSE POSITIVE,KEPLER
-0.19130810432437462,-0.10424935329857969,-0.23810679902125645,-0.5993942385421591,0.17256222081562575,0,FALSE POSITIVE,KEPLER
-0.19316919095526033,1.203236052149637,1.4119230345317504,-0.35982140761478015,4.491805655499858,0,FALSE POSITIVE,KEPLER
